Geopotential_Altitude_ft,Geometric_Altitude_ft,Pressure_Altitude_ft,Temperature_F,Temperature_R,Temperature_C,Temperature_K,Temperature_Ratio,Pressure_inHg,Pressure_PSF,Pressure_Ratio,Density_slug_ft3,Density_Ratio,Speed_of_Sound_FPS,Speed of Sound_kts,Q_M2_PSF,Absolute_Viscosity_lbsec_ft2
55000,55145,53432,-69.7,389.97,-56.5,216.65,0.7519,2.6931,190.47,0.0900,2.845E-04,0.1197,968.1,573.6,133.3,2.969E-07
56000,56151,54269,-69.7,389.97,-56.5,216.65,0.7519,2.5667,181.53,0.0858,2.712E-04,0.1141,968.1,573.6,127.1,2.969E-07
57000,57156,55099,-69.7,389.97,-56.5,216.65,0.7519,2.4462,173.01,0.0818,2.585E-04,0.1087,968.1,573.6,121.1,2.969E-07
58000,58161,55921,-69.7,389.97,-56.5,216.65,0.7519,2.3314,164.89,0.0779,2.463E-04,0.1036,968.1,573.6,115.4,2.969E-07
59000,59167,56735,-69.7,389.97,-56.5,216.65,0.7519,2.222,157.16,0.0743,2.348E-04,0.0988,968.1,573.6,110,2.969E-07
60000,60173,57541,-69.7,389.97,-56.5,216.65,0.7519,2.1178,149.78,0.0708,2.238E-04,0.0941,968.1,573.6,104.8,2.969E-07
61000,61179,58341,-69.7,389.97,-56.5,216.65,0.7519,2.0184,142.75,0.0675,2.133E-04,0.0897,968.1,573.6,99.9,2.969E-07
62000,62185,59133,-69.7,389.97,-56.5,216.65,0.7519,1.9237,136.05,0.0643,2.032E-04,0.0855,968.1,573.6,95.2,2.969E-07
63000,63191,59918,-69.7,389.97,-56.5,216.65,0.7519,1.8334,129.67,0.0613,1.937E-04,0.0815,968.1,573.6,90.8,2.969E-07
64000,64197,60696,-69.7,389.97,-56.5,216.65,0.7519,1.7474,123.58,0.0584,1.846E-04,0.0777,968.1,573.6,86.5,2.969E-07
65000,65203,61467,-69.7,389.97,-56.5,216.65,0.7519,1.6654,117.78,0.0557,1.760E-04,0.0740,968.1,573.6,82.4,2.969E-07
